,职业名,地址,薪资
0,市场专员/助理,观音山,面议
1,市场营销,翔鹭,6000-12000
2,新媒体运营|摄影工作室,SM商圈,4500-6000
3,主播运营,高崎,5000-10000
4,少儿口才培训招生专员,杏锦路,3500-7000
5,急聘企划主管,观音山,6000-10000
6,市场营销专员4000,翔安区,6000-8000
7,网络主播,枋湖,6000-12000
8,前景好+设计培训可学,思明区,面议
9,周末双休招聘电话客服,厦门,4000-7500
10,健身教练学徒+双休,高崎,6000-12000
11,市场营销专员+五险,观音山,6000-11000
12,市场专员+高提成,莲坂,5000-10000
13,美容导师,东浦路,5000-10000
14,不出差包吃住急招女士,莲坂,6000-12000
15,媒介,湖里区,4000-8000
16,急聘营销策划专员,莲坂,5000-10000
17,高级市场营销顾问+10k,厦门,8000-12000
18,年轻人有梦想/推广员,湖里区,面议
19,直聘营销专员五险一金,集美区,5000-10000
20,诚聘应届生底薪4k+提成,思明区,6000-12000
21,美导+高额提成+团建活动,莲前东路,7500-15000
22,策划营销,集美区,4000-5000
23,无责任底薪业务推广包住,湖边水…,6000-10000
24,电商运营专员4k+,火车站,4000-6000
25,市场营销5-8千,湖滨东路,面议
26,麦田总部直聘管理培训生,莲坂,4000-8000
27,媒介市场业务员,松柏,面议
28,连锁店聘外卖运营人员,高崎,3500-5000
29,市场选品专员,思明区,5000-7000
30,营销专员,思明区,面议
31,新媒体运营+年终奖,高新技…,4000-8000
32,客户经理+厦门户口+学历,五缘湾…,8000-15000
33,市场营销副总,翔鹭,面议
34,招商专员/经理/业务,集美新城,6000-10000
35,市场营销经理/总监,湖里区,7000-10000
36,二手楼盘营销人员,海沧区,5000-10000
37,市场经理/渠道销售,思明区,6000-12000
38,出差外派底薪加提成8K起,莲坂,8000-15000
39,管理培训生/储备干部,海沧区,面议
40,急招市场营销口齿清晰,同安区,面议
41,市场营销总监,东浦路,面议
42,客户经理+学历+五险一金,五缘湾…,10000-20000
43,市场营销,厦门,面议
44,市场营销管培生,高新技…,5000-10000
45,市场营销（品牌推广）经理,火车站,6000-12000
46,市场营销,嘉园路,面议
47,市场营销,杏锦路,面议
48,驾校招生专员/市场营销,嘉庚体…,4000-7000
49,市场营销顾问+资源共享,SM商圈,4000-8000
50,高级市场营销顾问+10K,厦门,4000-8000
51,市场营销,软件园,面议
52,总经理（市场营销）,同安区,面议
53,广告市场营销,同安区,面议
54,市场营销,城南,6000-12000
55,市场营销,厦门北站,4000-6000
56,市场营销专员+底薪4K,角美,4000-8000
57,市场营销总监,祥店,8000-12000
58,宽带市场营销底薪4K,集美区,4000-8000
59,营销策划,未来海…,面议
60,人性化自由制高薪营销,集美新城,5000-8000
61,市场专员,集美新城,3000-5000
62,市场推广员/经理/KOL,湖里区,8000-12000
63,市场经理,软件园,面议
64,高薪市场专员加奖金加社保,禾祥东路,4500-9000
65,营销人员,莲前西路,面议
66,市场策划助理,城南,4000-5000
67,市场推广专员,城西,面议
68,少儿体育培训市场运营,杏东路,4500-9000
69,市场销售员,高新技…,3500-4000
